name	x	y	z	type	material
FP1	0.95	0.309	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FP2	0.95	-0.309	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
Fz	0.719	-0.0	0.695	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
F3	0.673	0.545	0.5	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
F4	0.673	-0.545	0.5	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
F7	0.587	0.809	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
F8	0.587	-0.809	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FCz	0.391	-0.0	0.921	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FC3	0.36	0.676	0.643	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FC4	0.36	-0.676	0.643	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FT7	0.309	0.95	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
FT8	0.309	-0.95	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
Cz	3.75e-33	-6.12e-17	1.0	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
C3	4.4e-17	0.719	0.695	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
C4	4.4e-17	-0.719	0.695	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
T3	6.12e-17	0.999	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
T4	6.12e-17	-0.999	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
CP3	-0.36	0.676	0.643	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
CP4	-0.36	-0.676	0.643	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
TP7	-0.309	0.95	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
TP8	-0.309	-0.95	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
Pz	-0.719	-8.81e-17	0.695	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
P3	-0.673	0.545	0.5	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
P4	-0.673	-0.545	0.5	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
T5	-0.587	0.809	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
T6	-0.587	-0.809	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
Oz	-0.999	-1.22e-16	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
O1	-0.95	0.309	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
O2	-0.95	-0.309	-0.0349	semi-dry	Ag/AgCl semi-dry electrodes based on highly absorbable porous sponges dampened with 3% NaCl solution
